System_Name
Li-Na
Li-Mg
Li-Al
Li-P
Li-S
Li-K
Li-Ca
Li-Zn
Li-Ga
Li-Ge
Li-Se
Li-Ag
Li-In
Li-Sn
Li-Sb
Li-Cs
Li-Ba
Li-Hg
Li-Bi
Na-Mg
Na-Al
Na-P
Na-S
Na-K
Na-Ca
Na-Zn
Na-Ga
Na-Ge
Na-Se
Na-Ag
Na-In
Na-Sn
Na-Sb
Na-Cs
Na-Ba
Na-Hg
Na-Bi
Mg-Al
Mg-P
Mg-S
Mg-K
Mg-Ca
Mg-Zn
Mg-Ga
Mg-Ge
Mg-Se
Mg-Ag
Mg-In
Mg-Sn
Mg-Sb
Mg-Cs
Mg-Ba
Mg-Hg
Mg-Bi
Al-P
Al-S
Al-K
Al-Ca
Al-Zn
Al-Ga
Al-Ge
Al-Se
Al-Ag
Al-In
Al-Sn
Al-Sb
Al-Cs
Al-Ba
Al-Hg
Al-Bi
P-S
P-K
P-Ca
P-Zn
P-Ga
P-Ge
P-Se
P-Ag
P-In
P-Sn
P-Sb
P-Cs
P-Ba
P-Hg
P-Bi
S-K
S-Ca
S-Zn
S-Ga
S-Ge
S-Se
S-Ag
S-In
S-Sn
S-Sb
S-Cs
S-Ba
S-Hg
S-Bi
K-Ca
K-Zn
K-Ga
K-Ge
K-Se
K-Ag
K-In
K-Sn
K-Sb
K-Cs
K-Ba
K-Hg
K-Bi
Ca-Zn
Ca-Ga
Ca-Ge
Ca-Se
Ca-Ag
Ca-In
Ca-Sn
Ca-Sb
Ca-Cs
Ca-Ba
Ca-Hg
Ca-Bi
Zn-Ga
Zn-Ge
Zn-Se
Zn-Ag
Zn-In
Zn-Sn
Zn-Sb
Zn-Cs
Zn-Ba
Zn-Hg
Zn-Bi
Ga-Ge
Ga-Se
Ga-Ag
Ga-In
Ga-Sn
Ga-Sb
Ga-Cs
Ga-Ba
Ga-Hg
Ga-Bi
Ge-Se
Ge-Ag
Ge-In
Ge-Sn
Ge-Sb
Ge-Cs
Ge-Ba
Ge-Hg
Ge-Bi
Se-Ag
Se-In
Se-Sn
Se-Sb
Se-Cs
Se-Ba
Se-Hg
Se-Bi
Ag-In
Ag-Sn
Ag-Sb
Ag-Cs
Ag-Ba
Ag-Hg
Ag-Bi
In-Sn
In-Sb
In-Cs
In-Ba
In-Hg
In-Bi
Sn-Sb
Sn-Cs
Sn-Ba
Sn-Hg
Sn-Bi
Sb-Cs
Sb-Ba
Sb-Hg
Sb-Bi
Cs-Ba
Cs-Hg
Cs-Bi
Ba-Hg
Ba-Bi
Hg-Bi
Li-Na-Mg
Li-Na-Al
Li-Na-P
Li-Na-S
Li-Na-K
Li-Na-Ca
Li-Na-Zn
Li-Na-Ga
Li-Na-Ge
Li-Na-Se
Li-Na-Ag
Li-Na-In
Li-Na-Sn
Li-Na-Sb
Li-Na-Cs
Li-Na-Ba
Li-Na-Hg
Li-Na-Bi
Li-Mg-Al
Li-Mg-P
Li-Mg-S
Li-Mg-K
Li-Mg-Ca
Li-Mg-Zn
Li-Mg-Ga
Li-Mg-Ge
Li-Mg-Se
Li-Mg-Ag
Li-Mg-In
Li-Mg-Sn
Li-Mg-Sb
Li-Mg-Cs
Li-Mg-Ba
Li-Mg-Hg
Li-Mg-Bi
Li-Al-P
Li-Al-S
Li-Al-K
Li-Al-Ca
Li-Al-Zn
Li-Al-Ga
Li-Al-Ge
Li-Al-Se
Li-Al-Ag
Li-Al-In
Li-Al-Sn
Li-Al-Sb
Li-Al-Cs
Li-Al-Ba
Li-Al-Hg
Li-Al-Bi
Li-P-S
Li-P-K
Li-P-Ca
Li-P-Zn
Li-P-Ga
Li-P-Ge
Li-P-Se
Li-P-Ag
Li-P-In
Li-P-Sn
Li-P-Sb
Li-P-Cs
Li-P-Ba
Li-P-Hg
Li-P-Bi
Li-S-K
Li-S-Ca
Li-S-Zn
Li-S-Ga
Li-S-Ge
Li-S-Se
Li-S-Ag
Li-S-In
Li-S-Sn
Li-S-Sb
Li-S-Cs
Li-S-Ba
Li-S-Hg
Li-S-Bi
Li-K-Ca
Li-K-Zn
Li-K-Ga
Li-K-Ge
Li-K-Se
Li-K-Ag
Li-K-In
Li-K-Sn
Li-K-Sb
Li-K-Cs
Li-K-Ba
Li-K-Hg
Li-K-Bi
Li-Ca-Zn
Li-Ca-Ga
Li-Ca-Ge
Li-Ca-Se
Li-Ca-Ag
Li-Ca-In
Li-Ca-Sn
Li-Ca-Sb
Li-Ca-Cs
Li-Ca-Ba
Li-Ca-Hg
Li-Ca-Bi
Li-Zn-Ga
Li-Zn-Ge
Li-Zn-Se
Li-Zn-Ag
Li-Zn-In
Li-Zn-Sn
Li-Zn-Sb
Li-Zn-Cs
Li-Zn-Ba
Li-Zn-Hg
Li-Zn-Bi
Li-Ga-Ge
Li-Ga-Se
Li-Ga-Ag
Li-Ga-In
Li-Ga-Sn
Li-Ga-Sb
Li-Ga-Cs
Li-Ga-Ba
Li-Ga-Hg
Li-Ga-Bi
Li-Ge-Se
Li-Ge-Ag
Li-Ge-In
Li-Ge-Sn
Li-Ge-Sb
Li-Ge-Cs
Li-Ge-Ba
Li-Ge-Hg
Li-Ge-Bi
Li-Se-Ag
Li-Se-In
Li-Se-Sn
Li-Se-Sb
Li-Se-Cs
Li-Se-Ba
Li-Se-Hg
Li-Se-Bi
Li-Ag-In
Li-Ag-Sn
Li-Ag-Sb
Li-Ag-Cs
Li-Ag-Ba
Li-Ag-Hg
Li-Ag-Bi
Li-In-Sn
Li-In-Sb
Li-In-Cs
Li-In-Ba
Li-In-Hg
Li-In-Bi
Li-Sn-Sb
Li-Sn-Cs
Li-Sn-Ba
Li-Sn-Hg
Li-Sn-Bi
Li-Sb-Cs
Li-Sb-Ba
Li-Sb-Hg
Li-Sb-Bi
Li-Cs-Ba
Li-Cs-Hg
Li-Cs-Bi
Li-Ba-Hg
Li-Ba-Bi
Li-Hg-Bi
Na-Mg-Al
Na-Mg-P
Na-Mg-S
Na-Mg-K
Na-Mg-Ca
Na-Mg-Zn
Na-Mg-Ga
Na-Mg-Ge
Na-Mg-Se
Na-Mg-Ag
Na-Mg-In
Na-Mg-Sn
Na-Mg-Sb
Na-Mg-Cs
Na-Mg-Ba
Na-Mg-Hg
Na-Mg-Bi
Na-Al-P
Na-Al-S
Na-Al-K
Na-Al-Ca
Na-Al-Zn
Na-Al-Ga
Na-Al-Ge
Na-Al-Se
Na-Al-Ag
Na-Al-In
Na-Al-Sn
Na-Al-Sb
Na-Al-Cs
Na-Al-Ba
Na-Al-Hg
Na-Al-Bi
Na-P-S
Na-P-K
Na-P-Ca
Na-P-Zn
Na-P-Ga
Na-P-Ge
Na-P-Se
Na-P-Ag
Na-P-In
Na-P-Sn
Na-P-Sb
Na-P-Cs
Na-P-Ba
Na-P-Hg
Na-P-Bi
Na-S-K
Na-S-Ca
Na-S-Zn
Na-S-Ga
Na-S-Ge
Na-S-Se
Na-S-Ag
Na-S-In
Na-S-Sn
Na-S-Sb
Na-S-Cs
Na-S-Ba
Na-S-Hg
Na-S-Bi
Na-K-Ca
Na-K-Zn
Na-K-Ga
Na-K-Ge
Na-K-Se
Na-K-Ag
Na-K-In
Na-K-Sn
Na-K-Sb
Na-K-Cs
Na-K-Ba
Na-K-Hg
Na-K-Bi
Na-Ca-Zn
